conta,sum
10444770.0,80.0
10445157.0,80.0
10446049.0,84.0
10446050.0,84.0
10446051.0,84.0
10446056.0,84.0
10446066.0,80.0
10446069.0,80.0
10446072.0,80.0
10446324.0,80.0
10446327.0,80.0
10448357.0,80.0
10448361.0,80.0
10448364.0,80.0
10448701.0,80.0
10448702.0,80.0
10448957.0,80.0
10449028.0,80.0
10449031.0,80.0
10449036.0,80.0
10449600.0,80.0
10449808.0,80.0
10451471.0,80.0
10451488.0,80.0
10451490.0,80.0
10452372.0,80.0
10452375.0,80.0
10452760.0,80.0
10452895.0,80.0
10452896.0,80.0
10453123.0,80.0
10453296.0,80.0
10453300.0,80.0
10453471.0,300.0
10453494.0,780.0
10453497.0,520.0
10453525.0,80.0
10453862.0,855.0
10455172.0,80.0
10455576.0,202.25
10455676.0,80.0
10455679.0,80.0
10455711.0,80.0
10456268.0,80.0
10456271.0,80.0
10456403.0,80.0
10456846.0,80.0
10457235.0,80.0
10457239.0,80.0
10457251.0,80.0
10457265.0,80.0
10457400.0,80.0
10457828.0,80.0
10457831.0,80.0
10457882.0,80.0
10458341.0,80.0
10458343.0,80.0
10458828.0,80.0
10458840.0,80.0
10459943.0,80.0
10459994.0,80.0
10460072.0,80.0
10460102.0,80.0
10460107.0,80.0
10460244.0,80.0
10460520.0,80.0
10460618.0,157.31
10460632.0,150.0
10460698.0,80.0
10460703.0,80.0
10460709.0,80.0
10460917.0,80.0
10460918.0,80.0
10461296.0,80.0
10461305.0,80.0
10461701.0,80.0
10461902.0,80.0
10462859.0,80.0
10462861.0,80.0
10463948.0,80.0
10463950.0,80.0
10464583.0,80.0
10464603.0,80.0
10464637.0,80.0
10464737.0,80.0
10464791.0,80.0
10464794.0,80.0
10464801.0,80.0
10466051.0,80.0
10466053.0,80.0
10466056.0,80.0
10466062.0,80.0
10466516.0,80.0
10466535.0,80.0
10466909.0,80.0
10466911.0,80.0
10467689.0,520.0
10467715.0,80.0
10467724.0,80.0
10468004.0,80.0
10468009.0,80.0
10468011.0,80.0
10468057.0,80.0
10468093.0,80.0
10468161.0,80.0
10468164.0,80.0
10468168.0,80.0
10468178.0,199.54999999999998
10468391.0,80.0
10468399.0,80.0
10468674.0,80.0
10468740.0,80.0
10468744.0,80.0
10468745.0,80.0
10468853.0,80.0
10468867.0,80.0
10468871.0,80.0
10468906.0,84.0
10468909.0,84.0
10468912.0,84.0
10468991.0,80.0
10468992.0,80.0
10469737.0,80.0
10469946.0,80.0
10471464.0,80.0
10471472.0,80.0
10471704.0,80.0
10471803.0,80.0
10471821.0,80.0
10471822.0,80.0
10472249.0,80.0
10472250.0,80.0
10472268.0,80.0
10472270.0,80.0
10472271.0,80.0
10472272.0,80.0
10472276.0,80.0
10472277.0,80.0
10472336.0,80.0
10473000.0,80.0
10473094.0,199.54999999999998
10473200.0,80.0
10473202.0,80.0
10473204.0,80.0
10473245.0,199.54999999999998
10473328.0,160.93000000000004
10476534.0,80.0
10476720.0,80.0
10476742.0,80.0
10476745.0,80.0
10476753.0,80.0
10477372.0,80.0
10477914.0,80.0
10477940.0,80.0
10477946.0,80.0
10477947.0,80.0
10477949.0,80.0
10478111.0,80.0
10478420.0,80.0
10479782.0,80.0
10479792.0,80.0
10480222.0,80.0
10480235.0,80.0
10480374.0,80.0
10480408.0,80.0
10480497.0,80.0
10480611.0,90.0
10480633.0,80.0
10481180.0,80.0
10481186.0,80.0
10481679.0,80.0
10481779.0,80.0
10481868.0,80.0
10481871.0,80.0
10483202.0,80.0
10483616.0,80.0
10483772.0,80.0
10483774.0,80.0
10484015.0,230.0
10484063.0,100.0
10484068.0,80.0
10484076.0,80.0
10484086.0,80.0
10484090.0,80.0
10484091.0,80.0
10484178.0,199.54999999999998
10484216.0,130.0
10484245.0,130.0
10484333.0,130.0
10484355.0,130.0
10484370.0,130.0
10484424.0,130.0
10484947.0,80.0
10484951.0,80.0
10484955.0,80.0
10484957.0,80.0
10484959.0,80.0
10484961.0,80.0
10485410.0,80.0
10485516.0,80.0
10485560.0,80.0
10485561.0,80.0
10485597.0,80.0
